title,author,score,pages,year,genre,desc,reviews,url
To Kill a Mockingbird,Harper Lee,"998,587",323,1960,"Classics,Fiction,Historical Fiction,School,Literature,Young Adult,Historical","The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it. ""To Kill A Mockingbird"" became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.","116,697",/book/show/2657.To_Kill_a_Mockingbird
Fahrenheit 451,Ray Bradbury,"998,587",194,1953,"Fiction,Science Fiction,Dystopia,Classics,School,Literature,Novels","Guy Montag is a fireman. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they are hidden. Montag never questions the destruction and ruin his actions produce, returning each day to his bland life and wife, Mildred, who spends all day with her television “family.” But when he meets an eccentric young neighbor, Clarisse, who introduces him to a past where people didn’t live in fear and to a present where one sees the world through the ideas in books instead of the mindless chatter of television, Montag begins to question everything he has ever known.","73,233",/book/show/13079982-fahrenheit-451
"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,"998,587",366,1937,"Fantasy,Classics,Fiction,Adventure,Young Adult,High Fantasy,Science Fiction Fantasy","In a hole in the ground there lived a hobbit. Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort.","70,441",/book/show/5907.The_Hobbit
The Great Gatsby,F. Scott Fitzgerald,"998,587",180,1925,"Classics,Fiction,School,Historical Fiction,Romance,Literature,Novels",", F. Scott Fitzgerald's third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story of the fabulously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when ","104,082",/book/show/4671.The_Great_Gatsby
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"998,587",309,1997,"Fantasy,Fiction,Young Adult,Magic,Childrens,Middle Grade,Audiobook","Harry Potter has no idea how famous he is. That's because he's being raised by his miserable aunt and uncle who are terrified Harry will learn that he's really a wizard, just as his parents were. But everything changes when Harry is summoned to attend an infamous school for wizards, and he begins to discover some clues about his illustrious birthright. From the surprising way he is greeted by a lovable giant, to the unique curriculum and colorful faculty at his unusual school, Harry finds himself drawn deep inside a mystical world he never knew existed and closer to his own noble destiny.","161,230",/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
The Little Prince,Antoine de Saint-Exupéry,"998,587",96,1943,"Fantasy,Childrens,France,Philosophy,Young Adult,Literature,Middle Grade","A pilot stranded in the desert awakes one morning to see, standing before him, the most extraordinary little fellow. ""Please,"" asks the stranger, ""draw me a sheep."" And the pilot realizes that when life's events are too difficult to understand, there is no choice but to succumb to their mysteries. He pulls out pencil and paper... And thus begins this wise and enchanting fable that, in teaching the secret of what is really important in life, has changed forever the world for its readers.","67,183",/book/show/157993.The_Little_Prince
1984,George Orwell,"998,587",368,1949,"Classics,Fiction,Science Fiction,Dystopia,Literature,Politics,Novels",A masterpiece of rebellion and imprisonment where war is peace freedom is slavery and Big Brother is watching Thought Police Big Brother Orwellian These words have entered our vocabulary because of George Orwell s classic dystopian novel 1984 The story of one man s nightmare odyssey as he pursues a forbidden love affair through a world ruled by warring states and a power structure that controls not only information but also individual thought and memory 1984 is a prophetic haunting tale More relevant than ever before 1984 exposes the worst crimes imaginable the destruction of truth freedom and individuality With a foreword by Thomas Pynchon With a foreword by Thomas Pynchon A masterpiece of rebellion and imprisonment where war is peace freedom is slavery and Big Brother is watching View our feature on George Orwell s 1984 Thought Police Big Brother Orwellian These words have entered our vocabulary because of George Orwell s classic dystopian novel 1984 The story of one man s nightmare odyssey as he pursues a forbidden love affair through a world ruled by warring states and a power structure that controls not only information but also individual thought and memory 1984 is a prophetic haunting tale More relevant than ever before 1984 exposes the worst crimes imaginable the destruction of truth freedom and individuality This beautiful paperback edition features deckled edges and french flaps a perfect gift for any occasion,"114,229",/book/show/61439040-1984
Animal Farm,George Orwell,"998,587",128,1945,"Classics,Fiction,Dystopia,Fantasy,School,Literature,Science Fiction","A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned –a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible. ","95,055",/book/show/170448.Animal_Farm
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"998,587",206,1950,"Fantasy,Classics,Fiction,Young Adult,Childrens,Middle Grade,Adventure","Narnia… the land beyond the wardrobe door, a secret place frozen in eternal winter, a magical country waiting to be set free.","33,101",/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
The Grapes of Wrath,John Steinbeck,"998,587",479,1939,"Classics,Fiction,Historical Fiction,Literature,Novels,School,American","The Pulitzer Prize-winning epic of the Great Depression, a book that galvanized—and sometimes outraged—millions of readers.","23,833",/book/show/18114322-the-grapes-of-wrath
Brave New World,Aldous Huxley,"998,587",268,1932,"Classics,Fiction,Science Fiction,Dystopia,Literature,Novels,School","Aldous Huxley's profoundly important classic of world literature, ","47,294",/book/show/5129.Brave_New_World
"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,"5,677",273,1955,"Fiction,Mystery,Classics,Thriller,Crime,Mystery Thriller,Suspense","Since his debut in 1955, Tom Ripley has evolved into the ultimate bad boy sociopath, influencing countless novelists and filmmakers. In this first novel, we are introduced to suave, handsome Tom Ripley: a young striver, newly arrived in the heady world of Manhattan in the 1950s. A product of a broken home, branded a ""sissy"" by his dismissive Aunt Dottie, Ripley becomes enamored of the moneyed world of his new friend, Dickie Greenleaf. This fondness turns obsessive when Ripley is sent to Italy to bring back his libertine pal but grows enraged by Dickie's ambivalent feelings for Marge, a charming American dilettante. A dark reworking of Henry James's ","6,033",/book/show/2247142.The_Talented_Mr_Ripley
Gone with the Wind,Margaret Mitchell,"998,587",1037,1936,"Historical Fiction,Fiction,Romance,Classics,Historical,Literature,War","Scarlett O'Hara, the beautiful, spoiled daughter of a well-to-do Georgia plantation owner, must use every means at her disposal to claw her way out of the poverty she finds herself in after Sherman's March to the Sea.","24,181",/book/show/18405.Gone_with_the_Wind
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"998,587",398,1954,"Fantasy,Classics,Fiction,Adventure,High Fantasy,Science Fiction Fantasy,Epic Fantasy",Alternate Cover Edition ISBN 0618260269 (copyright page ISBN is 0618346252 - different from back cover),"39,162",/book/show/34.The_Fellowship_of_the_Ring
Trout Fishing in America,Richard Brautigan,"5,677",112,1967,"Fiction,Poetry,Short Stories,Classics,American,Literature,Novels","Richard Brautigan was a literary idol of the 1960s and 1970s whose comic genius and iconoclastic vision of American life caught the imagination of young people everywhere. He came of age during the Haight-Ashbury period and has been called ""the last of the Beats."" His early books became required reading for the hip generation, and on its publication Trout Fishing in America became an international bestseller. An indescribable romp, the novel is best summed up in one word: mayonnaise. ","1,289",/book/show/63913.Trout_Fishing_in_America
All the President’s Men,Carl Bernstein,"9,637",480,1974,"History,Nonfiction,Politics,Journalism,American History,True Crime,Classics",The full account of the Watergate scandal from the two ,"2,153",/book/show/96123.All_the_President_s_Men
Stardust,Neil Gaiman,"9,637",248,1999,"Fantasy,Fiction,Young Adult,Adventure,Audiobook,Magic,Science Fiction Fantasy","Young Tristran Thorn will do anything to win the cold heart of beautiful Victoria—even fetch her the star they watch fall from the night sky. But to do so, he must enter the unexplored lands on the other side of the ancient wall that gives their tiny village its name. Beyond that old stone wall, Tristran learns, lies Faerie—where nothing not even a fallen star, is what he imagined.","25,735",/book/show/16793.Stardust
Death in Venice and Other Tales,Thomas Mann,"9,637",384,1911,"Fiction,Classics,Short Stories,German Literature,Literature,Germany,20th Century","Featuring his world-famous masterpiece, ""Death in Venice,"" this new collection of Nobel laureate Thomas Mann's stories and novellas reveals his artistic evolution. In this new, widely acclaimed translation that restores the controversial passages that were cut out of the original English version, ""Death in Venice"" tells about a ruinous quest for love and beauty amid degenerating splendor. Gustav von Aschenbach, a successful but lonely author, travels to the Queen of the Adriatic in search of an elusive spiritual fulfillment that turns into his erotic doom. Spellbound by a beautiful Polish boy, he finds himself fettered to this hypnotic city of sun-drenched sensuality and eerie physical decay. Also included in this volume are eleven other stories by Mann: ""Tonio Kroger,"" ""Gladius Dei,"" ""The Blood of the Walsungs,"" ""The Will for Happiness,"" ""Little Herr Friedmann,"" ""Tobias Mindernickel,"" ""Little Lizzy,"" ""Tristan,"" ""The Starvelings,"" ""The Wunderkind,"" and ""Harsh Hour."" All of the stories collected here display Mann's inimitable use of irony, his subtle characterizations, and superb, complex plots.",486,/book/show/53064.Death_in_Venice_and_Other_Tales
Finnegans Wake,James Joyce,"9,637",628,1939,"Fiction,Classics,Literature,Ireland,Irish Literature,Novels,Literary Fiction","A story with no real beginning or end (it ends in the middle of a sentence and begins in the middle of the same sentence), this ""book of Doublends Jined"" is as remarkable for its prose as for its circular structure. ","1,218",/book/show/11013.Finnegans_Wake
Narcissus and Goldmund,Hermann Hesse,"9,637",320,1930,"Fiction,Classics,Philosophy,German Literature,Literature,Novels,Germany"," tells the story of two medieval men whose characters are diametrically opposite: Narcissus, an ascetic monk firm in his religious commitment, and Goldmund, a romantic youth hungry for knowledge and worldly experience. First published in 1930, Hesse's novel remains a moving and pointed exploration of the conflict between the life of the spirit and the life of the flesh. It is a theme that transcends all time.","3,180",/book/show/5954.Narcissus_and_Goldmund
The New York Trilogy (New York Trilogy #1-3),Paul Auster,"9,637",308,1987,"Fiction,Mystery,American,Novels,Literature,Contemporary,New York",The ,"4,385",/book/show/431.The_New_York_Trilogy
The Illustrated Man,Ray Bradbury,"9,637",186,1951,"Science Fiction,Short Stories,Fiction,Classics,Fantasy,Horror,Science Fiction Fantasy",That ,"5,765",/book/show/24830.The_Illustrated_Man
Misery,Stephen King,"18,805",370,1987,"Horror,Fiction,Thriller,Mystery,Suspense,Mystery Thriller,Adult",.,"25,912",/book/show/10614.Misery
"The Magician’s Nephew (Chronicles of Narnia, #6)",C.S. Lewis,"18,805",221,1955,"Fantasy,Fiction,Young Adult,Childrens,Middle Grade,Christian,Adventure","NARNIA...where the woods are thick and cold, where Talking Beasts are called to life...a new world where the adventure begins.","20,729",/book/show/65605.The_Magician_s_Nephew
"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,"9,637",382,1986,"Science Fiction,Fiction,Fantasy,Science Fiction Fantasy,Young Adult,Audiobook,Space","Now available in mass market, the revised, definitive edition of the Hugo and Nebula Award-winning classic. In this second book in the saga set 3,000 years after the terrible war, Ender Wiggin is reviled by history as the Xenocide--the destroyer of the alien Buggers. Now, Ender tells the true story of the war and seeks to stop history from repeating itself. ...","9,023",/book/show/7967.Speaker_for_the_Dead
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,"18,805",248,1952,"Fantasy,Fiction,Classics,Young Adult,Childrens,Adventure,Christian","NARNIA... the world of wicked dragons and magic spells, where the very best is brought out of even the worst people, where anything can happen (and most often does)... and where the adventure begins.","10,798",/book/show/140225.The_Voyage_of_the_Dawn_Treader
Starship Troopers,Robert A. Heinlein,"9,637",264,1959,"Science Fiction,Fiction,Classics,Military Fiction,War,Science Fiction Fantasy,Space Opera","The historians can’t seem to settle whether to call this one ""The Third Space War"" (or the fourth), or whether ""The First Interstellar War"" fits it better. We just call it “The Bug War."" Everything up to then and still later were ""incidents,"" ""patrols,"" or ""police actions."" However, you are just as dead if you buy the farm in an ""incident"" as you are if you buy it in a declared war...","7,348",/book/show/17214.Starship_Troopers
The Accidental Tourist,Anne Tyler,"9,637",352,1985,"Fiction,Contemporary,Romance,Literary Fiction,Novels,Adult Fiction,Literature","Macon Leary is a travel writer who hates both travel and anything out of the ordinary. He is grounded by loneliness and an unwillingness to compromise his creature comforts when he meets Muriel, a deliciously peculiar dog-obedience trainer who up-ends Macon’s insular world and thrusts him headlong into a remarkable engagement with life.","2,984",/book/show/60792.The_Accidental_Tourist
Pet Sematary,Stephen King,"9,637",580,1983,"Horror,Fiction,Thriller,Fantasy,Audiobook,Paranormal,Adult",',"23,964",/book/show/33124137-pet-sematary
Contact,Carl Sagan,"9,637",580,1985,"Science Fiction,Fiction,Classics,Science Fiction Fantasy,Space,Novels,Fantasy","Jeune astronome convaincue de l'existence d'une vie extraterrestre intelligente, Ellie Arroway doit faire face au scepticisme de la communauté scientifique à l'égard du projet ""Argus"", un programme d'écoute spatiale installé au Nouveau-Mexique qu'elle et son équipe tentent par tous les moyens de sauver. Jusqu'au jour où leurs ordinateurs captent un message rationnel émis non pas depuis la Terre, mais depuis Véga, une lointaine étoile. Ellie se lance alors à coeur perdu dans son déchiffrage, pour découvrir qu'il s'agit des plans d'un véhicule censé permettre à des humains de voyager dans l'espace afin de rencontrer ceux qui nous les ont adressés. Or ces êtres","4,511",/book/show/61666.Contact
Winter’s Tale,Mark Helprin,"9,637",769,1983,"Fiction,Fantasy,Historical Fiction,Magical Realism,Romance,Historical,New York","Mark Helprin belongs to no literary school, movement, tendency, or trend. As many have observed and as Time Magazine has phrased it, “He lights his own way.” His three collections of short stories (A Dove of the East and Other Stories, Ellis Island and Other Stories, and The Pacific and Other Stories), six novels (Refiner's Fire, Winter's Tale, A Soldier of the Great War, Memoir From Antproof Case, Freddy and Fredericka and, In Sunlight and In Shadow), and three children's books (Swan Lake, A City in Winter, and The Veil of Snows, all illustrated by Chris Van Allsburg), speak eloquently for themselves and are remarkable throughout for the sustained beauty and power of their language. ","4,413",/book/show/12967.Winter_s_Tale
"Harold and the Purple Crayon (Harold, #1)",Crockett Johnson,"9,637",64,1955,"Picture Books,Childrens,Fiction,Classics,Fantasy,Art,Kids",Harold decides to go for a walk one evening and as he goes he fills in the scene using his purple crayon. Adventure goes hand in hand with imagination to create this charming classic story.,"2,461",/book/show/98573.Harold_and_the_Purple_Crayon
"All the Pretty Horses (The Border Trilogy, #1)",Cormac McCarthy,"18,805",302,1992,"Fiction,Westerns,Historical Fiction,Classics,Literature,Novels,Literary Fiction","Teenager John Grady Cole, the last of a long line of Texas ranchers, has nothing left to stay for. Across the border Mexico beckons—beautiful and desolate, rugged and cruelly civilized. With neighbor Rawlins, and scruffy boy, he rides toward an idyllic, sometimes comic adventure, to a place where dreams are paid for in blood.","8,704",/book/show/469571.All_the_Pretty_Horses
Survival in Auschwitz,Primo Levi,"9,637",187,1947,"Nonfiction,History,Holocaust,Memoir,Biography,World War II,War","The true and harrowing account of Primo Levi’s experience at the German concentration camp of Auschwitz and his miraculous survival; hailed by The Times Literary Supplement as a “true work of art, this edition includes an exclusive conversation between the author and Philip Roth.","3,546",/book/show/6174.Survival_in_Auschwitz
’Salem’s Lot,Stephen King,"18,805",483,1975,"Horror,Fiction,Vampires,Fantasy,Thriller,Paranormal,Supernatural","Thousands of miles away from the small township of 'Salem's Lot, two terrified people, a man and a boy, still share the secrets of those clapboard houses and tree-lined streets. They must return to 'Salem's Lot for a final confrontation with the unspeakable evil that lives on in the town.","17,928",/book/show/11590._Salem_s_Lot
A Raisin in the Sun,Lorraine Hansberry,"9,637",162,1959,"Plays,Classics,Fiction,School,Drama,Read For School,Historical Fiction","""Never before, in the entire history of the American theater, has so much of the truth of black people's lives been seen on the stage,"" observed James Baldwin shortly before ","4,949",/book/show/5517.A_Raisin_in_the_Sun
"The Winds of War (The Henry Family, #1)",Herman Wouk,"9,637",896,1971,"Historical Fiction,Fiction,World War II,War,Historical,Classics,Audiobook","Like no other masterpiece of historical fiction, Herman Wouk's sweeping epic of World War II is the great novel of America's Greatest Generation.","1,827",/book/show/21484.The_Winds_of_War
"The Sparrow (The Sparrow, #1)",Mary Doria Russell,"9,637",419,1996,"Science Fiction,Fiction,Fantasy,Religion,Science Fiction Fantasy,Speculative Fiction,Aliens","In 2019, humanity finally finds proof of extraterrestrial life when a listening post in Puerto Rico picks up exquisite singing from a planet that will come to be known as Rakhat. While United Nations diplomats endlessly debate a possible first contact mission, the Society of Jesus quietly organizes an eight-person scientific expedition of its own. What the Jesuits find is a world so beyond comprehension that it will lead them to question what it means to be ""human"".","8,961",/book/show/334176.The_Sparrow
Birdsong,Sebastian Faulks,"9,637",483,1993,"Historical Fiction,Fiction,War,Classics,Historical,Romance,World War I","Published to international critical and popular acclaim, this intensely romantic yet stunningly realistic novel spans three generations and the unimaginable gulf between the First World War and the present. As the young Englishman Stephen Wraysford passes through a tempestuous love affair with Isabelle Azaire in France and enters the dark, surreal world beneath the trenches of No Man's Land, Sebastian Faulks creates a world of fiction that is as tragic as A Farewell to Arms and as sensuous as The English Patient. Crafted from the ruins of war and the indestructibility of love, Birdsong is a novel that will be read and marveled at for years to come.","3,804",/book/show/6259.Birdsong
"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,"18,805",160,1945,"Classics,Childrens,Fiction,Middle Grade,Young Adult,Fantasy,Humor","Tommy and his sister Annika have a new neighbor, and her name is Pippi Longstocking. She has crazy red pigtails, no parents to tell her what to do, a horse that lives on her porch, and a flair for the outrageous that seems to lead to one adventure after another!","5,193",/book/show/19302.Pippi_Longstocking
Our Town,Thornton Wilder,"5,677",181,1938,"Plays,Classics,Drama,Fiction,Theatre,School,Read For School"," was first produced and published in 1938 to wide acclaim. This Pulitzer Prize-winning drama of life in the small village of Grover's Corners, an allegorical representation of all life, has become a classic. It is Thornton Wilder's most renowned and most frequently performed play.","2,639",/book/show/205476.Our_Town
The Secret History,Donna Tartt,"5,677",559,1992,"Fiction,Mystery,Classics,Contemporary,Thriller,Literary Fiction,Mystery Thriller","Under the influence of their charismatic classics professor, a group of clever, eccentric misfits at an elite New England college discover a way of thinking and living that is a world away from the humdrum existence of their contemporaries. But when they go beyond the boundaries of normal morality they slip gradually from obsession to corruption and betrayal, and at last—inexorably—into evil.","79,549",/book/show/29044.The_Secret_History
"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,"18,805",481,1985,"Horror,Fantasy,Vampires,Fiction,Paranormal,Supernatural,Gothic","Lestat. The vampire hero of Anne Rice's enthralling new novel is a creature of the darkest and richest imagination. Once an aristocrat in the heady days of pre-revolutionary France, now a rock star in the demonic, shimmering 1980s, he rushes through the centuries in search of others like him, seeking answers to the mystery of his eternal, terrifying existence. His is a mesmerizing story --- passionate, complex, and thrilling.","5,119",/book/show/43814.The_Vampire_Lestat
"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"9,637",756,1979,"Science,Nonfiction,Philosophy,Mathematics,Music,Psychology,Computer Science","Douglas Hofstadter's book is concerned directly with the nature of “maps” or links between formal systems. However, according to Hofstadter, the formal system that underlies all mental activity transcends the system that supports it. If life can grow out of the formal chemical substrate of the cell, if consciousness can emerge out of a formal system of firing neurons, then so too will computers attain human intelligence. Gödel, Escher, Bach is a wonderful exploration of fascinating ideas at the heart of cognitive science: meaning, reduction, recursion, and much more.","2,246",/book/show/24113.G_del_Escher_Bach
The Tale of Peter Rabbit,Beatrix Potter,"18,805",72,1902,"Childrens,Classics,Picture Books,Fiction,Animals,Fantasy,Short Stories","Follow the story of naughty Peter Rabbit as he squeezes—predictably—under the gate into Mr. McGregor's garden and finds himself in all kinds of trouble! But how does Peter Rabbit get himself out of this tricky situation? Beatrix Potter's story about one mischievous but ultimately endearing little creature will tell us, accompanied by beautiful illustrations and timeless verses which have transcended generations.","2,717",/book/show/19321.The_Tale_of_Peter_Rabbit
Sometimes a Great Notion,Ken Kesey,"18,805",628,1964,"Fiction,Classics,Literature,Novels,Literary Fiction,American,Historical Fiction", ,"1,524",/book/show/529626.Sometimes_a_Great_Notion
The Collector,John Fowles,"9,637",283,1963,"Fiction,Classics,Horror,Thriller,Crime,Mystery,Literature","Withdrawn, uneducated and unloved, Frederick collects butterflies and takes photographs. He is obsessed with a beautiful stranger, the art student Miranda. When he wins the pools he buys a remote Sussex house and calmly abducts Miranda, believing she will grow to love him in time.","6,055",/book/show/243705.The_Collector
The Day of the Triffids,John Wyndham,"5,677",228,1951,"Science Fiction,Fiction,Classics,Horror,Post Apocalyptic,Dystopia,Fantasy","This book is fantastic and frightening, but entirely plausible. It doesn't just seem scientifically possible, but its characters are living people shaken out of the civilization they know into the horror of a world dominated by triffids. ","5,034",/book/show/530965.The_Day_of_the_Triffids
The Scarlet Pimpernel,Emmuska Orczy,"18,805",182,1905,"Classics,Historical Fiction,Fiction,Adventure,Historical,Mystery,France","Armed with only his wits and his cunning, one man recklessly defies the French revolutionaries and rescues scores of innocent men, women, and children from the deadly guillotine. His friends and foes know him only as the Scarlet Pimpernel. But the ruthless French agent Chauvelin is sworn to discover his identity and to hunt him down.","7,727",/book/show/136116.The_Scarlet_Pimpernel
"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,"53,824",256,1902,"Mystery,Fiction,Crime,Classics,Mystery Thriller,Thriller,Audiobook","In this, one of the most famous of Doyle's mysteries, the tale of an ancient curse and a savage ghostly hound comes frighteningly to life. The gray towers of Baskerville Hall and the wild open country of Dartmoor will haunt the reader as Holmes and Watson seek to unravel the many secrets of the misty English bogs.","12,295",/book/show/8921.The_Hound_of_the_Baskervilles
The True Confessions of Charlotte Doyle,Avi,"9,637",232,1990,"Historical Fiction,Young Adult,Fiction,Middle Grade,Adventure,Historical,Childrens","An ocean voyage of unimaginable consequences... Not every thirteen-year-old girl is accused of murder, brought to trial, and found guilty. But I was just such a girl, and my story is worth relating even if it did happen years ago. Be warned, however: If strong ideas and action offend you, read no more. Find another companion to share your idle hours. For my part I intend to tell the truth as I lived it.","3,821",/book/show/310146.The_True_Confessions_of_Charlotte_Doyle
"The Foundation Trilogy (Foundation, #1-3)",Isaac Asimov,"9,637",679,1953,"Science Fiction,Fiction,Classics,Science Fiction Fantasy,Fantasy,Space Opera,Literature"," begins a new chapter in the story of man's future. As the Old Empire crumbles into barbarism throughout the million worlds of the galaxy, Hari Seldon and his band of psychologists must create a new entity, the Foundation-dedicated to art, science, and technology-as the beginning of a new empire. ","2,221",/book/show/46654.The_Foundation_Trilogy
Sons and Lovers,D.H. Lawrence,"18,805",654,1913,"Classics,Fiction,Literature,Novels,British Literature,Romance,20th Century","The marriage of Gertrude and Walter Morel has become a battleground. Repelled by her uneducated and sometimes violent husband, delicate Gertrude devotes her life to her children, especially to her sons, William and Paul - determined they will not follow their father into working down the coal mines. But conflict is evitable when Paul seeks to escape his mother's suffocating grasp through relationships with women his own age. Set in Lawrence's native Nottinghamshire, ","2,454",/book/show/32071.Sons_and_Lovers
"The Alienist (Dr. Laszlo Kreizler, #1)",Caleb Carr,"53,824",498,1994,"Historical Fiction,Mystery,Fiction,Thriller,Crime,Historical,Mystery Thriller","The year is 1896, the place, New York City. On a cold March night New York Times reporter John Schuyler Moore is summoned to the East River by his friend and former Harvard classmate Dr. Laszlo Kreizler, a psychologist, or ""alienist."" On the unfinished Williamsburg Bridge, they view the horribly mutilated body of an adolescent boy, a prostitute from one of Manhattan's infamous brothels.","8,532",/book/show/40024.The_Alienist
"Anne of Avonlea (Anne of Green Gables, #2)",L.M. Montgomery,"53,824",276,1909,"Classics,Fiction,Young Adult,Historical Fiction,Childrens,Historical,Romance","When twelve-year-old Anne Shirley came to Avonlea, she quickly won everyone’s heart. Now, she’s five years older, almost a woman, and about to embark on a new adventure: becoming the teacher in her old Avonlea school. It’s an exciting year as Anne struggles to win over all her students, welcomes two new members to her family, and feels the first stirrings of love.","9,531",/book/show/77390.Anne_of_Avonlea
"The Notebook (The Notebook, #1)",Nicholas Sparks,"53,824",227,1996,"Romance,Fiction,Chick Lit,Contemporary,Adult,Classics,Adult Fiction","Set amid the austere beauty of the North Carolina coast begins the story of Noah Calhoun, a rural Southerner recently returned from the Second World War. Noah is restoring a plantation home to its former glory, and he is haunted by images of the beautiful girl he met fourteen years earlier, a girl he loved like no other. Unable to find her, yet unwilling to forget the summer they spent together, Noah is content to live with only memories...until she unexpectedly returns to his town to see him once again.","25,241",/book/show/33648131-the-notebook
The Polar Express,Chris Van Allsburg,"18,805",32,1985,"Picture Books,Childrens,Christmas,Fiction,Classics,Fantasy,Holiday","Late one Christmas Eve after the town has gone to sleep, the boy boards the mysterious train that waits for him: the Polar Express bound for the North Pole. When he arrives, Santa offers the boy any gift he desires. The boy modestly asks for one bell from the harness of the reindeer. The gift is granted. On the way home the bell is lost. On Christmas morning, the boy finds the bell under the tree. The mother of the boy admires the bell, but laments that it is broken—for you see, only believers can hear the sound of the bell.","4,150",/book/show/420282.The_Polar_Express
The Complete Stories,Franz Kafka,"18,805",486,1946,"Short Stories,Fantasy,Literary Fiction,Magical Realism,Short Story Collection,Classic Literature,Novels","The Complete Stories brings together all of Kafka’s stories, from the classic tales such as “The Metamorphosis,” “In the Penal Colony,” and “A Hunger Artist” to shorter pieces and fragments that Max Brod, Kafka’s literary executor, released after Kafka’s death. With the exception of his three novels, the whole of Kafka’s narrative work is included in this volume. ",912,/book/show/22904.The_Complete_Stories
V.,Thomas Pynchon,"5,677",640,1963,"Fiction,Classics,Literature,Novels,American,Contemporary,Literary Fiction","Que signifie V. ? Victoire, vol d'oiseaux, ou encore Vheissu, un pays imaginaire et mystérieux ? C'est la question que se pose Herbert Stencil depuis qu'il a repéré le fameux signe dans le journal intime de son père défunt. Très vite, V. devient une énigme aux nombreuses significations, une figure féminine aux multiples visages, la clé de voûte de la vaste réalité. Un récit vertigineux, dans le sillage de Kerouac et Joyce.","1,364",/book/show/5809.V_
Underworld,Don DeLillo,"5,677",827,1997,"Fiction,Novels,Literature,Literary Fiction,American,Classics,Historical Fiction","While Eisenstein documented the forces of totalitarianism and Stalinism upon the faces of the Russian peoples, DeLillo offers a stunning, at times overwhelming, document of the twin forces of the Cold War and American culture, compelling that ""swerve from evenness"" in which he finds events and people both wondrous and horrifying.","2,429",/book/show/11761.Underworld
Jitterbug Perfume,Tom Robbins,"9,637",342,1984,"Fiction,Fantasy,Humor,Magical Realism,Literature,Novels,Classics"," is an epic, which is to say, it begins in the forests of ancient Bohemia and doesn't conclude until nine o'clock tonight [Paris time]. It is a saga, as well. A saga must have a hero, and the hero of this one is a janitor with a missing bottle. The bottle is blue, very, very old, and embossed with the image of a goat-horned god. If the liquid in the bottle is actually is the secret essence of the universe, as some folks seem to think, it had better be discovered soon because it is leaking and there is only a drop or two left.","4,176",/book/show/8682.Jitterbug_Perfume
A Town Like Alice,Nevil Shute,"9,637",359,1950,"Fiction,Historical Fiction,Classics,Australia,Romance,War,Historical","Nevil Shute's most beloved novel, a tale of love and war, follows its enterprising heroine from the Malayan jungle during World War II to the rugged Australian outback.","4,429",/book/show/107301.A_Town_Like_Alice
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,"18,805",466,1990,"Science Fiction,Fiction,Thriller,Adventure,Fantasy,Horror,Classics","An astonishing technique for recovering and cloning dinosaur DNA has been discovered. Now humankind’s most thrilling fantasies have come true. Creatures extinct for eons roam Jurassic Park with their awesome presence and profound mystery, and all the world can visit them—for a price.","19,754",/book/show/40604658-jurassic-park
Hiroshima,John Hersey,"18,805",152,1946,"History,Nonfiction,War,Classics,Japan,World War II,Historical","On August 6, 1945, Hiroshima was destroyed by the first atom bomb ever dropped on a city. This book, John Hersey's journalistic masterpiece, tells what happened on that day. Told through the memories of survivors, this timeless, powerful and compassionate document has become a classic ""that stirs the conscience of humanity"" (The New York Times).","4,730",/book/show/27323.Hiroshima
