title,author,score,pages,year,genre,desc,reviews,url
Demian. Die Geschichte von Emil Sinclairs Jugend,Hermann Hesse,"9,637",193,1919,"Fiction,Classics,Philosophy,German Literature,Literature,Novels,Germany","Wie alle Hauptwerke Hermann Hesses hat auch der Demian, den der damals 40jährige Autor mitten im Ersten Weltkrieg schrieb, eine ebenso ungewöhnliche wie spannende Entstehungs- und Wirkungsgeschichte. Daß dieses im Herbst 1917 vollendete Buch erst im Juni 1919, ein halbes Jahr nach Kriegsende, veröffentlicht wurde, lag an der Unbekanntheit des Verfassers. Denn Hesse hatte das Manuskript dem Verlag als das Erstlingswerk eines kranken jungen Dichters empfohlen, des zeitkritischen Poeten Emil Sinclair, der bisher nur in Zeitungen und Zeitschriften durch pazifistische Mahnrufe und Erzählungen aufgefallen war (die gleichfalls von Hesse stammten). Doch trotz des Inkognitos erlebte das Buch eine geradezu stürmische Aufnahme und wurde noch im Erscheinungsjahr mit dem Fontane-Preis für das beste Erstlingswerk eines Nachwuchsautors ausgezeichnet. Thomas Mann verglich die elektrisierende Wirkung des Buches mit der von Goethes Werther, da es »mit unheimlicher Genauigkeit den Nerv der Zeit traf und eine ganze Jugend, die wähnte aus ihrer Mitte sei ihr ein Künder ihres tiefsten Lebens entstanden, zu dankbarem Entzücken hinriß«. Bis zur Entdeckung des Pseudonyms im Mai 1920 erschienen drei Auflagen, denen dann unter Hesses eigenem Namen zu seinen Lebzeiten noch 93 weitere folgten.","7,737",/book/show/24861.Demian_Die_Geschichte_von_Emil_Sinclairs_Jugend
"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,"18,805",288,1956,"Fantasy,Fiction,Classics,Young Adult,Childrens,Christian,Adventure","For the first time, an edition of Lewis's classic fantasy fiction packaged specifically for adults. Complementing the look of the author's non-fiction books, and anticipating the forthcoming Narnia feature films, this edition contains an exclusive ""P.S."" section about the history of the book, plus a round-up of the first six titles. The last days of Narnia, and all hope seems lost as lies and treachery interweave to threaten the destruction of everything. As the battle lines are drawn, old friends are summoned back to Narnia, though none can predict the outcome in this magnificent ending to the famous series. On 9 December 2005, Andrew (Shrek) Adamson's live-action film adaptation of The Lion, the Witch and the Wardrobe will be released by Disney, and it is already being hailed as the biggest film franchise of all time, guaranteed to appeal to adults and children across the globe. The second film is already in development. Sporting breathtaking new photographic covers, these new adult editions of the seven Chronicles of Narnia now give everyone an opportunity to experience the adventures in their original form. Re-live your childhood fantasies or discover for the first time what everyone will be talking about by Christmas and savour some of the best-loved stories ever written.","10,229",/book/show/84369.The_Last_Battle
"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,"9,637",240,1951,"Fantasy,Classics,Fiction,Young Adult,Childrens,Adventure,Middle Grade","Illustrations in this ebook appear in vibrant full color on a full color ebook device, and in rich black and white on all other devices. ","11,748",/book/show/121749.Prince_Caspian
A Good Man Is Hard to Find and Other Stories,Flannery O'Connor,"18,805",252,1955,"Short Stories,Fiction,Classics,Southern Gothic,Literature,Southern,American","This now classic book revealed Flannery O'Connor as one of the most original and provocative writers to emerge from the South. Her apocalyptic vision of life is expressed through grotesque, often comic situations in which the principal character faces a problem of salvation: the grandmother, in the title story, confronting the murderous Misfit; a neglected four-year-old boy looking for the Kingdom of Christ in the fast-flowing waters of the river; General Sash, about to meet the final enemy. Stories include:","3,083",/book/show/48464.A_Good_Man_Is_Hard_to_Find_and_Other_Stories
The Agony and the Ecstasy,Irving Stone,"5,677",776,1958,"Historical Fiction,Fiction,Art,Classics,Italy,Historical,Art History","Celebrating the 500th anniversary of Michelangelo’s David, New American Library releases a special edition of Irving Stone’s classic biographical novel—in which both the artist and the man are brought to life in full. A masterpiece in its own right, this novel offers a compelling portrait of Michelangelo’s dangerous, impassioned loves, and the God-driven fury from which he wrested the greatest art the world has ever known.","2,371",/book/show/321552.The_Agony_and_the_Ecstasy
Black Boy,Richard Wright,"5,677",419,1945,"Classics,Nonfiction,Memoir,Biography,African American,Race,Autobiography"," is a classic of American autobiography, a subtly crafted narrative of Richard Wright's journey from innocence to experience in the Jim Crow South. An enduring story of one young man's coming of age during a particular time and place, ","2,355",/book/show/228630.Black_Boy
"Foundation / Foundation and Empire / Second Foundation / The Stars, Like Dust / The Naked Sun / I, Robot",Isaac Asimov,"18,805",864,1981,"Science Fiction,Fiction,Classics,Fantasy,Science Fiction Fantasy,Novels,Space Opera","In this landmark of imaginative fiction, winner of a special Hugo Award as ",111,/book/show/278097.Foundation_Foundation_and_Empire_Second_Foundation_The_Stars_Like_Dust_The_Naked_Sun_I_Robot
The House of the Spirits,Isabel Allende,"53,824",448,1982,"Fiction,Magical Realism,Historical Fiction,Fantasy,Spanish Literature,Historical,Novels","In one of the most important and beloved Latin American works of the twentieth century, Isabel Allende weaves a luminous tapestry of three generations of the Trueba family, revealing both triumphs and tragedies. Here is patriarch Esteban, whose wild desires and political machinations are tempered only by his love for his ethereal wife, Clara, a woman touched by an otherworldly hand. Their daughter, Blanca, whose forbidden love for a man Esteban has deemed unworthy infuriates her father, yet will produce his greatest joy: his granddaughter Alba, a beautiful, ambitious girl who will lead the family and their country into a revolutionary future.","14,784",/book/show/9328.The_House_of_the_Spirits
A Confederacy of Dunces,John Kennedy Toole,"998,587",394,1980,"Fiction,Humor,Literature,Comedy,Novels,Classics,American","Here is Ignatius Reilly: slob extraordinary, a mad Oliver Hardy, a fat Don Quixote, a perverse Thomas Aquinas rolled into one, who is in violent revolt against the entire modern age, lying in his flannel nightshirt in a back bedroom on Constantinople Street in New Orleans, who between gigantic seizures of flatulence and eructations is filling dozens of Big Chief tablets with invective.","18,618",/book/show/310612.A_Confederacy_of_Dunces
Valley of the Dolls,Jacqueline Susann,"9,637",449,1966,"Fiction,Classics,Chick Lit,Romance,Contemporary,Novels,Adult","Dolls: red or black; capsules or tablets; washed down with vodka or swallowed straight-for Anne, Neely, and Jennifer, it doesn't matter, as long as the pill bottle is within easy reach. These three women become best friends when they are young and struggling in New York City and then climb to the top of the entertainment industry-only to find that there is no place left to go but down-into the Valley of the Dolls.","5,430",/book/show/50833.Valley_of_the_Dolls
